,dayWeek,monthDay,time24hourMinSec,year,flightTimeMinSec,flightDistanceMeters
0,Mon,Jun 13,10:01:58,2022,13:55,6409.1
1,Mon,Jun 13,10:54:41,2022,8:54,4602.8
2,Mon,Jun 13,15:37:35,2022,8:55,4595.4
3,Wed,Jun 15,11:10:30,2022,3:06,1242.0
4,Wed,Jun 15,11:40:06,2022,2:22,1372.6
5,Wed,Jun 15,12:13:05,2022,2:19,1385.7
6,Wed,Jun 15,13:48:17,2022,2:24,1364.9
7,Wed,Jun 15,13:59:26,2022,2:14,1367.8
8,Thu,Jun 16,10:36:54,2022,2:23,1381.4
9,Fri,Jun 17,08:58:32,2022,2:23,1364.4
10,Fri,Jun 17,09:14:16,2022,2:16,1376.6
11,Fri,Jun 17,09:28:16,2022,1:51,1348.3
12,Fri,Jun 17,09:36:10,2022,3:37,2702.7
13,Fri,Jun 17,10:02:54,2022,1:47,1353.4
14,Fri,Jun 17,10:21:16,2022,1:53,1354.6
15,Fri,Jun 17,10:30:07,2022,1:47,1346.0
16,Sun,Jun 19,08:47:55,2022,1:52,1351.4
17,Sun,Jun 19,09:01:36,2022,1:54,1362.5
18,Sun,Jun 19,09:12:51,2022,1:52,1349.1
19,Sun,Jun 19,09:21:29,2022,3:39,2696.6
20,Sun,Jun 19,09:46:58,2022,1:47,1351.8
21,Sun,Jun 19,10:05:06,2022,1:53,1357.1
22,Sun,Jun 19,10:12:16,2022,1:47,1345.5
23,Sun,Jun 19,10:31:35,2022,1:53,1351.8
24,Sun,Jun 19,10:39:11,2022,1:47,1345.7
25,Sun,Jun 19,10:49:49,2022,1:52,1347.4
26,Sun,Jun 19,11:01:30,2022,1:47,1344.8
27,Mon,Jun 20,08:14:44,2022,1:52,1351.9
28,Mon,Jun 20,08:24:43,2022,1:47,1345.0
29,Mon,Jun 20,11:08:52,2022,1:52,1360.0
30,Mon,Jun 20,11:16:01,2022,1:47,1341.2
31,Tue,Jun 21,10:23:39,2022,1:50,1352.8
32,Tue,Jun 21,10:40:48,2022,1:57,1361.7
33,Wed,Jun 22,10:19:59,2022,1:52,1351.3
34,Wed,Jun 22,10:46:19,2022,1:47,1347.8
35,Thu,Jun 23,10:09:07,2022,1:51,1352.1
36,Thu,Jun 23,10:20:23,2022,1:47,1348.2
37,Fri,Jun 24,10:02:45,2022,1:52,1349.1
38,Fri,Jun 24,10:10:08,2022,1:47,1341.9
